Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z,Mag_x,Mag_y,Mag_z,Euler_x,Euler_y,Euler_z,Quat_0,Quat_1,Quat_2,Quat_3
4.5,-1.5625,4.8125,0.9,1.78,9.62,-22.5625,-16,-19.5625,-11.5625,6.125,117,0.518677,0.00640869,-0.114197,-0.84729
4.25,-1.3125,4.8125,0.9,1.78,9.62,-22.5625,-16,-19.5625,-11.5625,6.125,117,0.518677,0.00640869,-0.114197,-0.84729
5.125,-1.0625,3.75,0.91,1.79,9.55,-23,-16.25,-20.75,-11.625,6.1875,117.062,0.51825,0.00646973,-0.114624,-0.847473
5.9375,-1.375,2.625,0.94,1.83,9.61,-23,-16.25,-20.75,-11.6875,6.1875,117.062,0.518433,0.0065918,-0.115112,-0.84729
6.625,-1.8125,1.8125,0.97,1.84,9.73,-23,-16.25,-20.75,-11.75,6.1875,117,0.518555,0.00671387,-0.116028,-0.847046
6.5,-1.9375,1.1875,1.01,1.83,9.85,-23,-16.25,-20.75,-11.8125,6.1875,117,0.518616,0.00683594,-0.116028,-0.846985
5.5625,-1.6875,0.75,1.04,1.84,9.9,-23,-16.25,-20.75,-11.8125,6.25,117,0.518677,0.00695801,-0.116394,-0.846985
4.625,-1.375,0.9375,1.16,1.81,9.8,-22.5625,-16.25,-19.5625,-11.875,6.25,117.188,0.517456,0.00689697,-0.117004,-0.847534
4.25,-1.0625,1.625,1.16,1.79,9.78,-22.5625,-16.25,-19.5625,-11.875,6.25,117.125,0.517578,0.00689697,-0.11731,-0.847412
4.5625,-1.3125,2.3125,1.19,1.8,9.81,-22.5625,-16.25,-19.5625,-11.9375,6.25,117.125,0.517761,0.00689697,-0.117615,-0.84729
4.75,-0.9375,2.625,1.25,1.89,9.99,-22.5625,-16.25,-19.5625,-11.9375,6.3125,117.062,0.517944,0.00689697,-0.11792,-0.847107
4.4375,-0.5625,3.0625,1.26,1.87,9.94,-22.5625,-16.25,-19.5625,-12,6.3125,117.062,0.518188,0.00701904,-0.11792,-0.847107
4,-0.6875,3.5625,1.25,1.9,9.92,-23,-16.25,-20.375,-12,6.3125,117.125,0.517822,0.00689697,-0.118469,-0.847046
3.5625,-1.25,4.125,1.23,1.91,9.85,-23,-16.25,-20.375,-12.0625,6.375,117.062,0.518127,0.00689697,-0.118469,-0.847046
3.5,-2.8125,4.125,1.16,1.87,9.74,-23,-16.25,-20.375,-12.0625,6.375,117,0.518433,0.0067749,-0.119202,-0.846619
